,Nbh,Bars
0,Horta,8
1,Navas,8
2,Pedralbes,6
3,Sant Andreu,6
4,Sant Antoni,34
5,Sant Gervasi - Galvany,148
6,Sant Gervasi - la Bonanova,16
7,"Sant Pere, Santa Caterina i la Ribera",102
8,Sants,50
9,Sarrià,6
10,el Barri Gòtic,156
11,el Camp d'en Grassot i Gràcia Nova,4
12,el Congrés i els Indians,32
13,el Fort Pienc,18
14,el Guinardó,4
15,el Parc i la Llacuna del Poblenou,36
16,el Poble-sec,46
17,el Poblenou,12
18,el Putxet i el Farró,2
19,el Raval,148
20,l'Antiga Esquerra de l'Eixample,154
21,la Barceloneta,46
22,la Dreta de Eixample,132
23,la Maternitat i Sant Ramon,12
24,la Nova Esquerra de l'Eixample,66
25,la Sagrada Família,20
26,la Sagrera,2
27,la Vila Olímpica del Poblenou,14
28,la Vila de Gràcia,122
29,les Corts,26
