NUM_BARRI,0
Baró de Viver,8
Can Baró,6
Can Peguera,4
Canyelles,4
Ciutat Meridiana,14
Diagonal Mar i el Front Marítim del Poblenou,16
Horta,20
Hostafrancs,2
Montbau,8
Navas,8
Pedralbes,14
Porta,34
Provençals del Poblenou,20
Sant Andreu,54
Sant Antoni,16
Sant Genís dels Agudells,18
Sant Gervasi - Galvany,14
Sant Gervasi - la Bonanova,16
Sant Martí de Provençals,22
"Sant Pere, Santa Caterina i la Ribera",64
Sants,14
Sants - Badal,2
Sarrià,26
Torre Baró,2
Vallbona,4
Vallcarca i els Penitents,16
"Vallvidrera, el Tibidabo i les Planes",22
Verdun,8
Vilapicina i la Torre Llobeta,12
el Baix Guinardó,8
el Barri Gòtic,6
el Besòs i el Maresme,40
el Bon Pastor,16
el Camp d'en Grassot i Gràcia Nova,8
el Camp de l'Arpa del Clot,14
el Carmel,24
el Clot,22
el Coll,6
el Congrés i els Indians,20
el Fort Pienc,10
el Guinardó,32
el Parc i la Llacuna del Poblenou,77
el Poble-sec,22
el Poblenou,18
el Putxet i el Farró,12
el Raval,16
el Turó de la Peira,10
l'Antiga Esquerra de l'Eixample,18
la Barceloneta,8
la Bordeta,14
la Dreta de Eixample,18
la Font d'en Fargues,2
la Font de la Guatlla,2
la Guineueta,18
la Marina de Port,30
la Marina del Prat Vermell,6
la Maternitat i Sant Ramon,14
la Nova Esquerra de l'Eixample,30
la Prosperitat,14
la Sagrada Família,24
la Sagrera,12
la Salut,6
la Teixonera,12
la Trinitat Nova,8
la Trinitat Vella,8
la Vall d'Hebron,18
la Verneda i la Pau,34
la Vila Olímpica del Poblenou,8
la Vila de Gràcia,20
les Corts,24
les Roquetes,12
les Tres Torres,10
