DTE,BARRIS,DOSZEROONZE,DOSZERODEU,DOSZEROZERONOU,DOSZEROZEROVUIT
1,"1. el Raval",1189,1216,1362,1543
1,"2. el Barri Gòtic",1325,1369,1481,1859
1,"3. la Barceloneta",1648,1660,1526,1469
1,"4. Sant Pere Santa Caterina i la Ribera",1225,1291,1374,1585
2,"5. el Fort Pienc",921,1000,1098,1243
2,"6. la Sagrada Família",1027,1086,1197,1309
2,"7. la Dreta de l'Eixample",1073,1130,1258,1433
2,"8. l'Antiga Esquerra de l'Eixample",1209,1218,1315,1526
2,"9. la Nova Esquerra de l'Eixample",958,1027,1170,1367
2,"10. Sant Antoni",894,1006,1134,1206
3,"11. el Poble Sec - Parc Montjuïc",809,844,904,1015
3,"12. la Marina del Prat Vermell - Zona Franca",--,647,--,--
3,"13. la Marina de Port",784,858,963,1347
3,"14. la Font de la Guatlla",764,771,842,856
3,"15. Hostafrancs",831,951,1018,1049
3,"16. la Bordeta",809,856,993,1146
3,"17. Sants - Badal",834,854,925,983
3,"18. Sants",846,885,981,1112
4,"19. les Corts",1153,1112,1241,1354
4,"20. la Maternitat i Sant Ramon",940,1001,1120,1243
4,"21. Pedralbes",--,--,1343,--
5,"22. Vallvidrera el Tibidabo i les Planes",--,--,--,--
5,"23. Sarrià",1228,1244,1292,1545
5,"24. les Tres Torres",1162,1255,1346,1579
5,"25. Sant Gervasi - la Bonanova",1174,1197,1247,1394
5,"26. Sant Gervasi - Galvany",1380,1388,1463,1580
5,"27. el Putxet i el Farró",947,1065,1261,1348
6,"28. Vallcarca i els Penitents",936,1042,949,1373
6,"29. el Coll",769,618,786,--
6,"30. la Salut",1078,1128,1232,1288
6,"31. la Vila de Gràcia",1115,1094,1135,1307
6,"32. el Camp d'en Grassot i Gràcia Nova",1001,1050,1175,1340
7,"33. el Baix Guinardó",898,920,1076,1254
7,"34. Can Baró",744,824,877,901
7,"35. el Guinardó",778,855,939,1159
7,"36. la Font d'en Fargues",--,1214,1177,--
7,"37. el Carmel",835,869,899,1089
7,"38. la Teixonera",610,646,792,--
7,"39. Sant Genís dels Agudells",--,--,--,--
7,"40. Montbau",--,--,--,--
7,"41. la Vall d'Hebron",--,--,--,
7,"42. la Clota",--,--,--,--
7,"43. Horta",795,898,984,1162
8,"44. Vilapicina i la Torre Llobeta",822,953,968,1002
8,"45. Porta",871,880,928,1039
8,"46. el Turó de la Peira",887,839,796,1011
8,"47. Can Peguera",--,--,--,--
8,"48. la Guineueta",766,841,874,869
8,"49. Canyelles",--,--,--,--
8,"50. les Roquetes",722,778,780,1040
8,"51. Verdun",864,881,990,935
8,"52. la Prosperitat",786,816,858,1059
8,"53. la Trinitat Nova",--,--,--,--
8,"54. Torre Baró",--,--,--,--
8,"55. Ciutat Meridiana",--,--,--,--
8,"56. Vallbona",--,--,--,--
9,"57. la Trinitat Vella",573,821,803,936
9,"58. Baró de Viver",--,--,--,--
9,"59. el Bon Pastor",626,653,846,886
9,"60. Sant Andreu",835,881,1062,1149
9,"61. la Sagrera",795,820,947,1030
9,"62. el Congrés i els Indians",827,863,987,1124
9,"63. Navas",837,876,906,1139
10,"64. el Camp de l'Arpa del Clot",890,935,1030,1306
10,"65. el Clot",848,877,997,1046
10,"66. el Parc i la Llacuna del Poblenou",764,845,756,868
10,"67. la Vila Olímpica del Poblenou",969,987,1100,1349
10,"68. el Poblenou",927,903,1044,1151
10,"69. Diagonal Mar i el Front Marítim del Poblenou",1126,1156,1157,1479
10,"70. el Besòs i el Maresme",--,863,942,857
10,"71. Provençals del Poblenou",832,967,1087,1295
10,"72. Sant Martí de Provençals",976,953,999,1066
10,"73. la Verneda i la Pau",891,992,946,1027
