,district_name,electors,total_votes,index_family_income,participation,percentage_CUP,percentage_Cs,percentage_PP,percentage_ECP,percentage_ERC,percentage_JxCAT,percentage_PSC,percentage_VOX
0,Ciutat Vella,46385,27381,89.07,59.03,8.14,4.91,6.73,20.31,18.66,9.42,22.41,4.58
1,Eixample,180319,136346,122.63,75.61,8.12,5.0,8.81,14.11,22.3,16.8,16.75,4.24
2,Sants-Montjuïc,124884,88881,79.05,71.17,7.76,5.21,7.42,17.64,22.59,10.23,20.46,4.67
3,Les Corts,60997,48101,161.0,78.86,5.43,6.48,13.61,10.12,21.11,16.55,16.9,6.31
4,Sarrià-Sant Gervasi,106106,83095,179.13,78.31,4.95,6.29,18.29,8.04,16.89,19.91,14.4,7.82
5,Gràcia,86076,65534,103.9,76.14,11.11,3.92,6.4,16.27,24.39,16.48,14.4,3.23
6,Horta-Guinardó,125788,90300,82.53,71.79,7.07,5.6,8.11,17.2,21.04,9.88,21.79,5.13
7,Nou Barris,118625,80713,51.45,68.04,3.89,6.98,9.98,18.24,15.47,5.02,28.73,7.07
8,Sant Andreu,109744,82109,70.37,74.82,6.49,6.03,7.93,17.56,22.15,9.05,21.66,4.98
9,Sant Martí,163991,121963,96.7,74.37,6.58,5.85,7.95,17.26,21.9,9.31,21.68,5.1
